"ENSEMBL","SYMBOL","log2FoldChange_UVB","padj_UVB","log2FoldChange_UVA","padj_UVA","log2FoldChange_7gy","padj_7gy"
"ENSG00000113407","TARS1",-0.538685705891703,3.13004275606582e-13,-0.447420313796121,2.39269440868565e-09,-0.383087400657859,4.3924362036966e-07
"ENSG00000213551","DNAJC9",-0.357662361209042,3.412004940392e-05,-0.379892170354744,8.3164556072665e-06,-0.443463102343264,2.44996241528263e-07
"ENSG00000120705","ETF1",-0.28962393912179,7.60348711997583e-07,-0.227035314895743,0.000245598660261372,-0.359488561490263,1.33493164021037e-09
"ENSG00000134684","YARS1",-0.656982347567513,5.88385146636767e-12,-0.511882234866482,1.75280081925145e-07,-0.350397201769621,0.000329364195725569
"ENSG00000259956","RBM15B",-0.293719971137906,6.78575442905301e-05,-0.252991104362448,0.000864413878800619,-0.295580106508952,9.72748620204247e-05
"ENSG00000136936","XPA",-0.290651981599911,0.000957718416407672,-0.475036051933544,8.75665178649059e-08,-0.462787778028471,2.40138897604908e-07
"ENSG00000187840","EIF4EBP1",-0.895116383598925,5.59468675506089e-16,-0.34062789796527,0.00119551396454163,-0.40624370906089,0.000186501943656764
"ENSG00000197111","PCBP2",-0.268354607316903,2.64336807165454e-05,-0.268549160646189,3.86344136556333e-05,-0.216141938072822,0.00138678554399858
"ENSG00000105281","SLC1A5",-0.37496145208902,0.0021039228041774,-0.483297987169464,5.71745450996933e-05,-0.481707243167976,5.15103405517135e-05
"ENSG00000125977","EIF2S2",-0.24735549155533,0.000254408503322739,-0.216914316265625,0.00217131478299142,-0.266174924583574,0.000107775076279931
"ENSG00000166986","MARS1",-0.424296262176618,8.13734389712951e-05,-0.348284210892007,0.00084383993270486,-0.331853970745981,0.00226424787669156
"ENSG00000165732","DDX21",-0.266106598650888,2.59417372404241e-07,-0.172779294808982,0.00245363753000846,-0.314547013519702,1.70053445934738e-09
"ENSG00000119326","CTNNAL1",-0.428757658137643,5.64879302219603e-05,-0.31222670512771,0.00250774921856296,-0.384508242856843,0.000311444039927794
"ENSG00000149428","HYOU1",-0.399033314960868,1.40418436808355e-05,-0.278447339288048,0.00250910973433688,-0.335148444891022,0.000354025709431771
"ENSG00000135316","SYNCRIP",-0.230106067237,0.00330612926387448,-0.249181703170502,0.00156002174456256,-0.411657094774249,6.76141584729614e-08
"ENSG00000184260","H2AC20",-1.15107514550335,5.07956899747391e-06,-0.668246681515118,0.00342898728123052,-1.2147461739402,4.59869618437133e-06
"ENSG00000069849","ATP1B3",-0.250730579086767,0.00112900368028586,-0.22798411685626,0.00393584509044591,-0.259280057659252,0.000970455441740318
"ENSG00000114904","NEK4",-0.393760769001618,0.00217426965386947,-0.331741908202192,0.00552328482122027,-0.351291594201449,0.00589797291316792
"ENSG00000113739","STC2",-0.740725202290279,0.00189496114097534,-0.745733945988415,0.00249451670508875,-0.603147282192791,0.00618531125799883
"ENSG00000160917","CPSF4",-0.223593690232564,0.00762685418929463,-0.23256325581208,0.0059755813794125,-0.233494969254686,0.0074940708789252
"ENSG00000111845","PAK1IP1",-0.239114389494016,0.00982520409174578,-0.267211357430704,0.00308440800351801,-0.690921345836139,6.39819491290511e-14
"ENSG00000261236","BOP1",-0.265474624578463,0.010899789291727,-0.395252540709843,6.39777925623315e-05,-0.389440049295245,0.000121885449544443
"ENSG00000211460","TSN",-0.220206292233031,0.000846964161394311,-0.179524501887579,0.0109597866242144,-0.28204789723575,2.75752126582326e-05
"ENSG00000128272","ATF4",-0.624274578163608,9.24855758745752e-08,-0.711478594272711,1.57208643313959e-08,-0.302021750943802,0.0109834405142774
"ENSG00000108055","SMC3",-0.242737011078595,0.00687189359961344,-0.222065027422486,0.0136905180097176,-0.248551243132105,0.00626254396442624
"ENSG00000188483","IER5L",-0.401729211909129,0.0142078240596496,-0.828124022732188,1.18218387844529e-05,-0.607111584086617,0.000283394272395737
"ENSG00000142686","C1orf216",-0.33862902840235,0.00777667489606707,-0.2867865004841,0.0146283189676563,-0.327831799493641,0.00999820263715669
"ENSG00000165417","GTF2A1",-0.266532583559397,0.00166829871524981,-0.212655847095483,0.0147396507925675,-0.275479541835336,0.00160300667489082
"ENSG00000277161","PIGW",-0.46347172918663,0.00111974569712696,-0.336303128878723,0.00919035251488589,-0.337682045796606,0.0153068379117026
"ENSG00000164548","TRA2A",-0.253681343551636,0.0025091271314506,-0.208898937930106,0.0155021779739506,-0.222729251906715,0.0112751609687205
"ENSG00000054598","FOXC1",-0.251333544498806,0.0161061458220766,-0.309456114908669,0.00171400698349675,-0.31941209918593,0.00183247338066305
"ENSG00000276043","UHRF1",-0.355950496655012,0.0089939492993893,-0.294986639464199,0.0163859310552701,-0.319495096162103,0.016752481298787
"ENSG00000106105","GARS1",-0.691590916830474,1.54390378759765e-08,-0.322036434782514,0.00525816251715587,-0.293165434810333,0.0173545435648282
"ENSG00000147654","EBAG9",-0.606274093459794,1.25634183219629e-08,-0.24744055941302,0.018026543082386,-0.56456338476997,2.12705744186986e-07
"ENSG00000142453","CARM1",-0.194269984100917,0.018231318007131,-0.251457608491231,0.00179902321715558,-0.300541266615397,0.000181242661955115
"ENSG00000171490","RSL1D1",-0.179567505462068,0.00408145837446511,-0.157645359335284,0.0185897932288543,-0.231412271412791,0.00023603346168493
"ENSG00000165916","PSMC3",-0.159391245904078,0.0190676309879972,-0.176832005066428,0.0117364665675711,-0.271091679264581,4.52563549169136e-05
"ENSG00000180185","FAHD1",-0.220835604552153,0.0202927730945797,-0.250577162075101,0.00688404837832165,-0.27093159176605,0.00453825931786576
"ENSG00000260806",NA,-1.19281134145999,0.00019385405080201,-0.489777926450895,0.0210807814137911,-0.563071509881064,0.0162803651816211
"ENSG00000086475","SEPHS1",-0.183371227437215,0.0226257446872495,-0.276488832008401,0.00037581387085612,-0.320293903375414,4.32525752478785e-05
"ENSG00000159692","CTBP1",-0.179472561377917,0.0231075701408191,-0.217120364737041,0.0059755813794125,-0.391255246091957,2.59610745885759e-07
"ENSG00000182872","RBM10",-0.207589682376405,0.0257927861892886,-0.210717940819319,0.0217746837769208,-0.337441272995268,0.000186501943656764
"ENSG00000115310","RTN4",-0.185619940760436,0.0272720369273409,-0.343490642585595,1.1913877563586e-05,-0.426941241678539,5.55269065036627e-08
"ENSG00000172954","LCLAT1",-0.445252406925257,7.04097186853773e-05,-0.249440261605252,0.0210807814137911,-0.255378108036405,0.027820479160695
"ENSG00000143458","GABPB2",-0.542109412610046,0.00102335231806606,-0.305165944222575,0.0284902064115275,-0.371074059145312,0.0170227513058593
"ENSG00000102172","SMS",-0.212505655379638,0.0285541513170925,-0.296897273516287,0.00116080068725778,-0.359662346532789,9.3763365247155e-05
"ENSG00000119900","OGFRL1",-0.231608088631631,0.0286402686890867,-0.50822755232783,7.40925629186271e-07,-0.512322893208599,4.42914061748125e-07
"ENSG00000116237","ICMT",-0.208061259142935,0.0167935054131793,-0.192876005443299,0.0287561384527482,-0.203101381978177,0.0247791571447848
"ENSG00000164294","GPX8",-0.493887627265489,5.76278188288124e-06,-0.258793450767777,0.0146366054872113,-0.247087808622325,0.0297489884790063
"ENSG00000182199","SHMT2",-0.337004442232237,6.30225226183795e-05,-0.215480113460524,0.0141126286149922,-0.196679321564183,0.0314366642871491
"ENSG00000197714","ZNF460",-0.933794860051979,0.00238799433702356,-0.45204224086851,0.030901278112448,-0.489377888725595,0.0331921021508876
"ENSG00000056277","ZNF280C",-0.370590173201672,0.0285884057613033,-0.301489117728026,0.0334431955708977,-0.526193639070716,0.00189074855721492
"ENSG00000148334","PTGES2",-0.295835286298937,0.00148299340921188,-0.201361860835673,0.034400318215117,-0.293423193389482,0.00199363762515812
"ENSG00000110619","CARS1",-0.339291425207622,0.00640199326178756,-0.585821095756345,4.65262121200088e-06,-0.260673300720815,0.0370539805955893
"ENSG00000101940","WDR13",-0.308814392409575,0.00120093462555671,-0.201788024835532,0.0378030420370521,-0.339653441196094,0.000460625200066179
"ENSG00000144810","COL8A1",-0.760793194882287,0.00311564817394505,-0.383590405313711,0.039104857662698,-0.565301924878333,0.0127536411994318
"ENSG00000108559","NUP88",-0.176279223234384,0.0394143531070615,-0.221514243430907,0.00856731002389032,-0.392901039136163,1.68664256620892e-06
"ENSG00000007376","RPUSD1",-0.270478760668362,0.0418132484545723,-0.250299907634644,0.0355064161954036,-0.359664136430236,0.00461693162510622
"ENSG00000121892","PDS5A",-0.118461127817646,0.0432198974513921,-0.174257191515244,0.00314223731790841,-0.210522183460329,0.000240146194801039
"ENSG00000198874","TYW1",-0.20310555142446,0.0461022364834398,-0.237419011937682,0.0149707745719896,-0.245364477192777,0.0166418234424891
"ENSG00000256269","HMBS",-0.306194816220353,0.0067684596532923,-0.215341956043913,0.0486564557469381,-0.441479425888421,8.20750889268392e-05
"ENSG00000151353","TMEM18",-0.34501869191948,0.00143653861223647,-0.210114763617969,0.0495036849942316,-0.266050249857081,0.0163522517876118
